appid	name	release_date	english	developer	publisher	categories	genres	price
10	Counter-Strike	2000-11-01	1	Valve	Valve	Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled	Action	7.19
20	Team Fortress Classic	1999-04-01	1	Valve	Valve	Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled	Action	3.99
30	Day of Defeat	2003-05-01	1	Valve	Valve	Multi-player;Valve Anti-Cheat enabled	Action	3.99
40	Deathmatch Classic	2001-06-01	1	Valve	Valve	Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled	Action	3.99
50	Half-Life: Opposing Force	1999-11-01	1	Gearbox Software	Valve	Single-player;Multi-player;Valve Anti-Cheat enabled	Action	3.99
60	Ricochet	2000-11-01	1	Valve	Valve	Multi-player;Online Multi-Player;Valve Anti-Cheat enabled	Action	3.99
70	Half-Life	1998-11-08	1	Valve	Valve	Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled	Action	7.19
80	Counter-Strike: Condition Zero	2004-03-01	1	Valve	Valve	Single-player;Multi-player;Valve Anti-Cheat enabled	Action	7.19
130	Half-Life: Blue Shift	2001-06-01	1	Gearbox Software	Valve	Single-player	Action	3.99
220	Half-Life 2	2004-11-16	1	Valve	Valve	Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK	Action	7.19
240	Counter-Strike: Source	2004-11-01	1	Valve	Valve	Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK	Action	7.19
280	Half-Life: Source	2004-06-01	1	Valve	Valve	Single-player	Action	0
300	Day of Defeat: Source	2010-07-12	1	Valve	Valve	Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK	Action	7.19
320	Half-Life 2: Deathmatch	2004-11-01	1	Valve	Valve	Multi-player;Valve Anti-Cheat enabled;Includes Source SDK	Action	3.99
340	Half-Life 2: Lost Coast	2005-10-27	1	Valve	Valve	Single-player;Commentary available	Action	0
360	Half-Life Deathmatch: Source	2006-05-01	1	Valve	Valve	Multi-player;Valve Anti-Cheat enabled	Action	0
380	Half-Life 2: Episode One	2006-06-01	1	Valve	Valve	Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available	Action	5.79
400	Portal	2007-10-10	1	Valve	Valve	Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available	Action	7.19
420	Half-Life 2: Episode Two	2007-10-10	1	Valve	Valve	Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available	Action	5.79
440	Team Fortress 2	2007-10-10	1	Valve	Valve	Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available	Action;Free to Play	0
500	Left 4 Dead	2008-11-17	1	Valve	Valve	Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available	Action	7.19
550	Left 4 Dead 2	2009-11-19	1	Valve	Valve	Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available	Action	7.19
570	Dota 2	2013-07-09	1	Valve	Valve	Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled	Action;Free to Play;Strategy	0
620	Portal 2	2011-04-18	1	Valve	Valve	Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available	Action;Adventure	7.19
630	Alien Swarm	2010-07-19	1	Valve	Valve	Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor	Action	0
730	Counter-Strike: Global Offensive	2012-08-21	1	Valve;Hidden Path Entertainment	Valve	Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats	Action;Free to Play	0
1002	Rag Doll Kung Fu	2005-10-12	1	Mark Healey	Mark Healey	Single-player;Multi-player	Indie	5.99
1200	Red Orchestra: Ostfront 41-45	2006-03-14	1	Tripwire Interactive	Tripwire Interactive	Multi-player;Steam Achievements;Valve Anti-Cheat enabled	Action	3.99
1250	Killing Floor	2009-05-14	1	Tripwire Interactive	Tripwire Interactive	Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor	Action	14.99
1300	SiN Episodes: Emergence	2006-05-10	1	Ritual Entertainment	Ritual Entertainment	Single-player;Stats	Action	7.19
1500	Darwinia	2005-07-14	1	Introversion Software	Introversion Software	Single-player	Indie;Strategy	7.19
1510	Uplink	2006-08-23	1	Introversion Software	Introversion Software	Single-player	Indie;Strategy	6.99
1520	DEFCON	2006-09-29	1	Introversion Software	Introversion Software	Single-player;Multi-player	Indie;Strategy	7.19
1530	Multiwinia	2008-09-19	1	Introversion Software	Introversion Software	Single-player;Multi-player;Steam Achievements	Indie	7.19
1600	Dangerous Waters	2006-02-07	1	Sonalysts	Strategy First	Single-player;Multi-player	Strategy	22.99
1610	Space Empires IV Deluxe	2006-02-07	1	Malfador Machinations	Strategy First	Single-player;Multi-player	Strategy	6.99
1630	Disciples II: Rise of the Elves 	2006-07-06	1	Strategy First	Strategy First	Single-player;Multi-player;Co-op	Strategy	4.99
1640	Disciples II: Gallean's Return	2006-07-06	1	Strategy First	Strategy First	Single-player;Multi-player;Co-op	Strategy	4.99
1670	Iron Warriors: T - 72 Tank Command 	2006-07-26	1	Strategy First	Strategy First	Single-player;Multi-player	Strategy	3.99
1690	Space Empires V	2006-10-16	1	Malfador Machinations	Strategy First	Single-player;Multi-player	Strategy	10.99
1700	Arx Fatalis	2007-04-03	1	Arkane Studios	Arkane Studios	Single-player	RPG	2.99
1840	Source Filmmaker	2012-07-10	1	Valve	Valve	Steam Workshop	Animation & Modeling;Video Production	0
1900	Earth 2160	2006-04-01	1	Reality Pump Studios	Topware Interactive;ACE	Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards	Strategy	3.99
1930	Two Worlds Epic Edition	2009-04-30	1	Reality Pump Studios	Topware Interactive	Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support	RPG	6.99
